Time (milliseconds),time,accelleration,x_accelleration,y_accelleration,z_accelleration,altitude
443348,443.32,10.33317,7.37712,6.59232,-2.98224,416.5095
443384,443.356,10.23374,7.37712,6.43536,-2.98224,416.8451
443420,443.392,10.4458,7.53408,6.59232,-2.98224,416.1026
443494,443.464,10.18911,7.37712,6.43536,-2.82528,416.6787
443532,443.504,10.29734,7.53408,6.2784,-3.1392,417.2336
443569,443.54,10.53622,7.691041,6.74928,-2.51136,416.4356
443605,443.576,10.17701,7.22016,6.59232,-2.82528,416.6787
443657,443.628,10.41865,7.691041,6.43536,-2.82528,417.0856
443704,443.676,10.42219,7.53408,6.74928,-2.51136,416.6787
443740,443.712,9.834769,7.22016,6.12144,-2.66832,416.7526
443777,443.748,9.908392,6.59232,7.0632,-2.19744,416.8451
443813,443.784,10.20602,7.53408,6.2784,-2.82528,416.6787
443884,443.856,9.622045,7.37712,5.4936,-2.82528,417.0856
443920,443.892,9.778243,7.0632,6.2784,-2.51136,416.8451
443957,443.928,10.07605,7.22016,6.43536,-2.82528,416.7526
443993,443.964,9.698553,7.53408,5.4936,-2.66832,416.602
444064,444.036,10.44227,7.53408,6.43536,-3.29616,417.0856
444100,444.072,10.02334,6.12144,7.22016,-3.29616,417.5691
444136,444.108,11.12314,7.691041,7.848001,-1.72656,416.2691
444173,444.144,10.18548,7.691041,6.12144,-2.66832,416.9191
444209,444.18,10.43637,7.848001,6.12144,-3.1392,415.8622
444280,444.252,10.32124,7.53408,6.59232,-2.51136,416.9191
444317,444.288,10.73886,7.53408,6.90624,-3.29616,417.1596
444353,444.324,9.924541,7.22016,6.12144,-2.98224,416.602
444389,444.36,10.06749,7.53408,6.12144,-2.66832,416.4356
444460,444.432,10.36055,7.53408,6.59232,-2.66832,416.5095
444496,444.468,10.26859,7.22016,6.59232,-3.1392,416.1026
444533,444.504,10.33317,7.37712,6.59232,-2.98224,416.898
444568,444.54,10.11997,7.22016,6.2784,-3.29616,416.7526
444604,444.576,10.13578,7.37712,6.2784,-2.98224,416.2691
444676,444.648,10.25058,7.53408,6.2784,-2.98224,416.2691
444712,444.684,10.25058,7.53408,6.2784,-2.98224,416.1951
444749,444.72,10.12118,7.22016,6.43536,-2.98224,416.9191
444784,444.756,10.34746,7.53408,6.43536,-2.98224,417.474
444856,444.828,10.09071,7.37712,6.2784,-2.82528,417.1596
444893,444.864,10.23374,7.37712,6.43536,-2.98224,416.2691
444931,444.9,10.28058,7.37712,6.43536,-3.1392,416.5095
444968,444.94,10.23374,7.37712,6.43536,-2.98224,416.5095
